analysis,sla_allele,sla_locus,seed,hla_subgroup,hla_locus,probability
class1,SLA-1*01:01,SLA-1,42,C_Other,C,0.005115834530442953
class1,SLA-1*01:02,SLA-1,42,A01,A,0.025077637284994125
class1,SLA-1*01:02,SLA-1,42,A02,A,0.0048904442228376865
class1,SLA-1*01:02,SLA-1,42,A03,A,0.001635896391235292
class1,SLA-1*01:02,SLA-1,42,A11,A,0.0023219974245876074
class1,SLA-1*01:02,SLA-1,42,A23,A,0.003773224540054798
class1,SLA-1*01:02,SLA-1,42,A24,A,0.28196319937705994
class1,SLA-1*01:02,SLA-1,42,A25,A,0.0008766427636146545
class1,SLA-1*01:02,SLA-1,42,A26,A,0.001505873049609363
class1,SLA-1*01:02,SLA-1,42,A29,A,2.6402251023682766e-05
class1,SLA-1*01:02,SLA-1,42,A30,A,0.0005872095935046673
class1,SLA-1*01:02,SLA-1,42,A31,A,0.00011075912334490567
class1,SLA-1*01:02,SLA-1,42,A32,A,0.0018342942930758
class1,SLA-1*01:02,SLA-1,42,A33,A,0.00012183120270492509
class1,SLA-1*01:02,SLA-1,42,A68,A,0.0034907590597867966
class1,SLA-1*01:02,SLA-1,42,A_Other,A,0.0011849957518279552
class1,SLA-1*01:02,SLA-1,42,B07,B,0.0019359806319698691
class1,SLA-1*01:02,SLA-1,42,B08,B,0.0032257423736155033
class1,SLA-1*01:02,SLA-1,42,B13,B,0.004297795705497265
class1,SLA-1*01:02,SLA-1,42,B14,B,0.000431421329267323
class1,SLA-1*01:02,SLA-1,42,B15,B,0.010359331965446472
class1,SLA-1*01:02,SLA-1,42,B18,B,0.02333906665444374
class1,SLA-1*01:02,SLA-1,42,B27,B,0.0009370183106511831
class1,SLA-1*01:02,SLA-1,42,B35,B,0.0005873272893950343
class1,SLA-1*01:02,SLA-1,42,B37,B,0.004207977559417486
class1,SLA-1*01:02,SLA-1,42,B38,B,0.0001443886721972376
class1,SLA-1*01:02,SLA-1,42,B39,B,1.9042417989112437e-05
class1,SLA-1*01:02,SLA-1,42,B40,B,0.5026808381080627
class1,SLA-1*01:02,SLA-1,42,B41,B,0.03859439864754677
class1,SLA-1*01:02,SLA-1,42,B44,B,0.001627483987249434
class1,SLA-1*01:02,SLA-1,42,B46,B,0.0007337642600759864
class1,SLA-1*01:02,SLA-1,42,B49,B,0.0005734915030188859
class1,SLA-1*01:02,SLA-1,42,B50,B,0.0013943834928795695
class1,SLA-1*01:02,SLA-1,42,B51,B,5.674534259014763e-05
class1,SLA-1*01:02,SLA-1,42,B52,B,0.000555493519641459
class1,SLA-1*01:02,SLA-1,42,B53,B,6.992142152739689e-05
class1,SLA-1*01:02,SLA-1,42,B55,B,2.4759867301327176e-05
class1,SLA-1*01:02,SLA-1,42,B56,B,4.670563794206828e-05
class1,SLA-1*01:02,SLA-1,42,B57,B,0.0025105266831815243
class1,SLA-1*01:02,SLA-1,42,B58,B,0.00022070757404435426
class1,SLA-1*01:02,SLA-1,42,B_Other,B,0.003036987269297242
class1,SLA-1*01:02,SLA-1,42,C01,C,0.02766418643295765
class1,SLA-1*01:02,SLA-1,42,C02,C,0.0005912620108574629
class1,SLA-1*01:02,SLA-1,42,C03,C,3.17250014632009e-05
class1,SLA-1*01:02,SLA-1,42,C04,C,0.014295952394604683
class1,SLA-1*01:02,SLA-1,42,C05,C,0.00016794534167274833
class1,SLA-1*01:02,SLA-1,42,C06,C,0.008256658911705017
class1,SLA-1*01:02,SLA-1,42,C07,C,0.004326934926211834
class1,SLA-1*01:02,SLA-1,42,C08,C,2.971339927171357e-05
class1,SLA-1*01:02,SLA-1,42,C12,C,8.701197657501325e-05
class1,SLA-1*01:02,SLA-1,42,C14,C,0.002209322527050972
class1,SLA-1*01:02,SLA-1,42,C15,C,0.002742697950452566
class1,SLA-1*01:02,SLA-1,42,C16,C,0.004652900621294975
class1,SLA-1*01:02,SLA-1,42,C17,C,0.0009676303598098457
class1,SLA-1*01:02,SLA-1,42,C_Other,C,0.0029636116232722998
class1,SLA-1*01:03,SLA-1,42,A01,A,0.02499101497232914
class1,SLA-1*01:03,SLA-1,42,A02,A,0.004256405867636204
class1,SLA-1*01:03,SLA-1,42,A03,A,0.0016035595908761024
class1,SLA-1*01:03,SLA-1,42,A11,A,0.0022702529095113277
class1,SLA-1*01:03,SLA-1,42,A23,A,0.003802808467298746
class1,SLA-1*01:03,SLA-1,42,A24,A,0.27771398425102234
class1,SLA-1*01:03,SLA-1,42,A25,A,0.0009045900660566986
class1,SLA-1*01:03,SLA-1,42,A26,A,0.0016144580440595746
class1,SLA-1*01:03,SLA-1,42,A29,A,2.5863211703835987e-05
class1,SLA-1*01:03,SLA-1,42,A30,A,0.000621322076767683
class1,SLA-1*01:03,SLA-1,42,A31,A,0.00011181376612512395
class1,SLA-1*01:03,SLA-1,42,A32,A,0.001965483883395791
class1,SLA-1*01:03,SLA-1,42,A33,A,0.00012208629050292075
class1,SLA-1*01:03,SLA-1,42,A68,A,0.0034336394164711237
class1,SLA-1*01:03,SLA-1,42,A_Other,A,0.0012091230601072311
class1,SLA-1*01:03,SLA-1,42,B07,B,0.0018672291189432144
class1,SLA-1*01:03,SLA-1,42,B08,B,0.0031437608413398266
class1,SLA-1*01:03,SLA-1,42,B13,B,0.004414615221321583
class1,SLA-1*01:03,SLA-1,42,B14,B,0.00045032851630821824
class1,SLA-1*01:03,SLA-1,42,B15,B,0.0101828183978796
class1,SLA-1*01:03,SLA-1,42,B18,B,0.022674772888422012
class1,SLA-1*01:03,SLA-1,42,B27,B,0.0009651610744185746
class1,SLA-1*01:03,SLA-1,42,B35,B,0.0005434579215943813
class1,SLA-1*01:03,SLA-1,42,B37,B,0.004256241023540497
class1,SLA-1*01:03,SLA-1,42,B38,B,0.00014603276213165373
class1,SLA-1*01:03,SLA-1,42,B39,B,1.8759928934741765e-05
class1,SLA-1*01:03,SLA-1,42,B40,B,0.506369411945343
class1,SLA-1*01:03,SLA-1,42,B41,B,0.03886043280363083
class1,SLA-1*01:03,SLA-1,42,B44,B,0.0015604528598487377
class1,SLA-1*01:03,SLA-1,42,B46,B,0.0007391245453618467
class1,SLA-1*01:03,SLA-1,42,B49,B,0.0005854918854311109
class1,SLA-1*01:03,SLA-1,42,B50,B,0.0014566605677828193
class1,SLA-1*01:03,SLA-1,42,B51,B,5.423335824161768e-05
class1,SLA-1*01:03,SLA-1,42,B52,B,0.0005567155894823372
class1,SLA-1*01:03,SLA-1,42,B53,B,6.617944745812565e-05
class1,SLA-1*01:03,SLA-1,42,B55,B,2.5285638912464492e-05
class1,SLA-1*01:03,SLA-1,42,B56,B,4.689094566856511e-05
class1,SLA-1*01:03,SLA-1,42,B57,B,0.002520658541470766
class1,SLA-1*01:03,SLA-1,42,B58,B,0.00021687253320124
class1,SLA-1*01:03,SLA-1,42,B_Other,B,0.003211449831724167
class1,SLA-1*01:03,SLA-1,42,C01,C,0.02880622074007988
class1,SLA-1*01:03,SLA-1,42,C02,C,0.000591226271353662
class1,SLA-1*01:03,SLA-1,42,C03,C,2.991782093886286e-05
class1,SLA-1*01:03,SLA-1,42,C04,C,0.014799675904214382
class1,SLA-1*01:03,SLA-1,42,C05,C,0.00016258849063888192
class1,SLA-1*01:03,SLA-1,42,C06,C,0.008207480423152447
class1,SLA-1*01:03,SLA-1,42,C07,C,0.004097213037312031
class1,SLA-1*01:03,SLA-1,42,C08,C,2.986180697917007e-05
class1,SLA-1*01:03,SLA-1,42,C12,C,8.28734046081081e-05
class1,SLA-1*01:03,SLA-1,42,C14,C,0.0022308402694761753
class1,SLA-1*01:03,SLA-1,42,C15,C,0.0027087992057204247
class1,SLA-1*01:03,SLA-1,42,C16,C,0.004652883391827345
class1,SLA-1*01:03,SLA-1,42,C17,C,0.0010077053448185325
class1,SLA-1*01:03,SLA-1,42,C_Other,C,0.003013256471604109
class1,SLA-1*02:01,SLA-1,42,A01,A,0.046230923384428024
class1,SLA-1*02:01,SLA-1,42,A02,A,0.005341395735740662
class1,SLA-1*02:01,SLA-1,42,A03,A,0.0018876849208027124
class1,SLA-1*02:01,SLA-1,42,A11,A,0.00941984262317419
class1,SLA-1*02:01,SLA-1,42,A23,A,0.003051389940083027
class1,SLA-1*02:01,SLA-1,42,A24,A,0.2770305573940277
class1,SLA-1*02:01,SLA-1,42,A25,A,0.002829129109159112
class1,SLA-1*02:01,SLA-1,42,A26,A,0.0043267556466162205
class1,SLA-1*02:01,SLA-1,42,A29,A,2.850716009561438e-05
class1,SLA-1*02:01,SLA-1,42,A30,A,0.00033647302188910544
class1,SLA-1*02:01,SLA-1,42,A31,A,0.00011989320773864165
class1,SLA-1*02:01,SLA-1,42,A32,A,0.002419941360130906
class1,SLA-1*02:01,SLA-1,42,A33,A,5.828530265716836e-05
class1,SLA-1*02:01,SLA-1,42,A68,A,0.0013733337400481105
class1,SLA-1*02:01,SLA-1,42,A_Other,A,0.0010540159419178963
class1,SLA-1*02:01,SLA-1,42,B07,B,0.0010194266214966774
class1,SLA-1*02:01,SLA-1,42,B08,B,0.0007108824793249369
class1,SLA-1*02:01,SLA-1,42,B13,B,0.0021152424160391092
class1,SLA-1*02:01,SLA-1,42,B14,B,0.0002096175740007311
class1,SLA-1*02:01,SLA-1,42,B15,B,0.014527221210300922
class1,SLA-1*02:01,SLA-1,42,B18,B,0.010220086202025414
class1,SLA-1*02:01,SLA-1,42,B27,B,0.001966319512575865
class1,SLA-1*02:01,SLA-1,42,B35,B,0.00036820725654251873
class1,SLA-1*02:01,SLA-1,42,B37,B,0.0011834586039185524
class1,SLA-1*02:01,SLA-1,42,B38,B,2.7498648705659434e-05
class1,SLA-1*02:01,SLA-1,42,B39,B,4.768606231664307e-06
class1,SLA-1*02:01,SLA-1,42,B40,B,0.536555290222168
class1,SLA-1*02:01,SLA-1,42,B41,B,0.005998710170388222
class1,SLA-1*02:01,SLA-1,42,B44,B,0.0004191392508801073
class1,SLA-1*02:01,SLA-1,42,B46,B,0.0013689505867660046
class1,SLA-1*02:01,SLA-1,42,B49,B,0.00026138368411920965
class1,SLA-1*02:01,SLA-1,42,B50,B,0.0009283029939979315
class1,SLA-1*02:01,SLA-1,42,B51,B,2.7839514586958103e-05
class1,SLA-1*02:01,SLA-1,42,B52,B,0.0001311036612605676
class1,SLA-1*02:01,SLA-1,42,B53,B,3.779150210903026e-05
class1,SLA-1*02:01,SLA-1,42,B55,B,1.1812041520897765e-05
class1,SLA-1*02:01,SLA-1,42,B56,B,3.3608961530262604e-05
class1,SLA-1*02:01,SLA-1,42,B57,B,0.0011966103920713067
class1,SLA-1*02:01,SLA-1,42,B58,B,0.00014854800247121602
class1,SLA-1*02:01,SLA-1,42,B_Other,B,0.0011936669470742345
class1,SLA-1*02:01,SLA-1,42,C01,C,0.018467403948307037
class1,SLA-1*02:01,SLA-1,42,C02,C,0.0016738345148041844
class1,SLA-1*02:01,SLA-1,42,C03,C,1.420965236320626e-05
class1,SLA-1*02:01,SLA-1,42,C04,C,0.009904704988002777
class1,SLA-1*02:01,SLA-1,42,C05,C,7.95535888755694e-05
class1,SLA-1*02:01,SLA-1,42,C06,C,0.01690473034977913
class1,SLA-1*02:01,SLA-1,42,C07,C,0.007857346907258034
class1,SLA-1*02:01,SLA-1,42,C08,C,1.485598386352649e-05
class1,SLA-1*02:01,SLA-1,42,C12,C,5.958311157883145e-05
class1,SLA-1*02:01,SLA-1,42,C14,C,0.0006656456971541047
class1,SLA-1*02:01,SLA-1,42,C15,C,0.0014025996206328273
class1,SLA-1*02:01,SLA-1,42,C16,C,0.003831759560853243
class1,SLA-1*02:01,SLA-1,42,C17,C,0.0011580631835386157
class1,SLA-1*02:01,SLA-1,42,C_Other,C,0.001792142167687416
class1,SLA-1*02:02,SLA-1,42,A01,A,0.08626145869493484
class1,SLA-1*02:02,SLA-1,42,A02,A,0.005274517461657524
class1,SLA-1*02:02,SLA-1,42,A03,A,0.0014652485260739923
class1,SLA-1*02:02,SLA-1,42,A11,A,0.010962028056383133
class1,SLA-1*02:02,SLA-1,42,A23,A,0.0019048232352361083
class1,SLA-1*02:02,SLA-1,42,A24,A,0.33484986424446106
class1,SLA-1*02:02,SLA-1,42,A25,A,0.0023312412668019533
class1,SLA-1*02:02,SLA-1,42,A26,A,0.003772547235712409
class1,SLA-1*02:02,SLA-1,42,A29,A,2.022824264713563e-05
class1,SLA-1*02:02,SLA-1,42,A30,A,0.00030424492433667183
class1,SLA-1*02:02,SLA-1,42,A31,A,7.263699808390811e-05
class1,SLA-1*02:02,SLA-1,42,A32,A,0.0023396715987473726
class1,SLA-1*02:02,SLA-1,42,A33,A,4.280914072296582e-05
class1,SLA-1*02:02,SLA-1,42,A68,A,0.001359256450086832
class1,SLA-1*02:02,SLA-1,42,A_Other,A,0.0005638869479298592
class1,SLA-1*02:02,SLA-1,42,B07,B,0.0009218466584570706
class1,SLA-1*02:02,SLA-1,42,B08,B,0.0008490270702168345
class1,SLA-1*02:02,SLA-1,42,B13,B,0.0013616158394142985
class1,SLA-1*02:02,SLA-1,42,B14,B,0.0001880283816717565
class1,SLA-1*02:02,SLA-1,42,B15,B,0.00957824569195509
class1,SLA-1*02:02,SLA-1,42,B18,B,0.0099473986774683
class1,SLA-1*02:02,SLA-1,42,B27,B,0.002027672016993165
class1,SLA-1*02:02,SLA-1,42,B35,B,0.0003512100665830076
class1,SLA-1*02:02,SLA-1,42,B37,B,0.0011396086774766445
class1,SLA-1*02:02,SLA-1,42,B38,B,2.0849465727224015e-05
class1,SLA-1*02:02,SLA-1,42,B39,B,4.0805484786687884e-06
class1,SLA-1*02:02,SLA-1,42,B40,B,0.44525209069252014
class1,SLA-1*02:02,SLA-1,42,B41,B,0.004080720245838165
class1,SLA-1*02:02,SLA-1,42,B44,B,0.0003316463262308389
class1,SLA-1*02:02,SLA-1,42,B46,B,0.0009860186837613583
class1,SLA-1*02:02,SLA-1,42,B49,B,0.0002803525421768427
class1,SLA-1*02:02,SLA-1,42,B50,B,0.0008387016132473946
class1,SLA-1*02:02,SLA-1,42,B51,B,2.684615355974529e-05
class1,SLA-1*02:02,SLA-1,42,B52,B,8.182958117686212e-05
class1,SLA-1*02:02,SLA-1,42,B53,B,3.44544168910943e-05
class1,SLA-1*02:02,SLA-1,42,B55,B,7.46991599953617e-06
class1,SLA-1*02:02,SLA-1,42,B56,B,2.6087471269420348e-05
class1,SLA-1*02:02,SLA-1,42,B57,B,0.0008978715050034225
class1,SLA-1*02:02,SLA-1,42,B58,B,0.00013465966912917793
class1,SLA-1*02:02,SLA-1,42,B_Other,B,0.000763680029194802
class1,SLA-1*02:02,SLA-1,42,C01,C,0.016772208735346794
class1,SLA-1*02:02,SLA-1,42,C02,C,0.0008716792799532413
class1,SLA-1*02:02,SLA-1,42,C03,C,9.600961675459985e-06
class1,SLA-1*02:02,SLA-1,42,C04,C,0.007239598780870438
class1,SLA-1*02:02,SLA-1,42,C05,C,5.9745860198745504e-05
class1,SLA-1*02:02,SLA-1,42,C06,C,0.02455453760921955
class1,SLA-1*02:02,SLA-1,42,C07,C,0.009532743133604527
class1,SLA-1*02:02,SLA-1,42,C08,C,1.3310751455719583e-05
class1,SLA-1*02:02,SLA-1,42,C12,C,7.276928226929158e-05
class1,SLA-1*02:02,SLA-1,42,C14,C,0.0007811745163053274
class1,SLA-1*02:02,SLA-1,42,C15,C,0.0010603283299133182
class1,SLA-1*02:02,SLA-1,42,C16,C,0.0052411556243896484
class1,SLA-1*02:02,SLA-1,42,C17,C,0.0007916041067801416
class1,SLA-1*02:02,SLA-1,42,C_Other,C,0.0013431343249976635
class1,SLA-1*02:03,SLA-1,42,A01,A,0.08431800454854965
class1,SLA-1*02:03,SLA-1,42,A02,A,0.005419382359832525
class1,SLA-1*02:03,SLA-1,42,A03,A,0.0014518903335556388
class1,SLA-1*02:03,SLA-1,42,A11,A,0.011065402999520302
class1,SLA-1*02:03,SLA-1,42,A23,A,0.001994737423956394
class1,SLA-1*02:03,SLA-1,42,A24,A,0.34081366658210754
class1,SLA-1*02:03,SLA-1,42,A25,A,0.0023746145889163017
class1,SLA-1*02:03,SLA-1,42,A26,A,0.0037494595162570477
class1,SLA-1*02:03,SLA-1,42,A29,A,2.0989640688640065e-05
class1,SLA-1*02:03,SLA-1,42,A30,A,0.00030912531656213105
class1,SLA-1*02:03,SLA-1,42,A31,A,7.350682426476851e-05
class1,SLA-1*02:03,SLA-1,42,A32,A,0.0024942245800048113
class1,SLA-1*02:03,SLA-1,42,A33,A,4.670925409300253e-05
class1,SLA-1*02:03,SLA-1,42,A68,A,0.0014180612051859498
class1,SLA-1*02:03,SLA-1,42,A_Other,A,0.0005695135332643986
class1,SLA-1*02:03,SLA-1,42,B07,B,0.0009527466609142721
class1,SLA-1*02:03,SLA-1,42,B08,B,0.0008999861311167479
class1,SLA-1*02:03,SLA-1,42,B13,B,0.001369666657410562
class1,SLA-1*02:03,SLA-1,42,B14,B,0.00019522663205862045
class1,SLA-1*02:03,SLA-1,42,B15,B,0.010378757491707802
class1,SLA-1*02:03,SLA-1,42,B18,B,0.010956886224448681
class1,SLA-1*02:03,SLA-1,42,B27,B,0.002077277982607484
class1,SLA-1*02:03,SLA-1,42,B35,B,0.0003653587191365659
class1,SLA-1*02:03,SLA-1,42,B37,B,0.0011748133692890406
class1,SLA-1*02:03,SLA-1,42,B38,B,2.1827810996910557e-05
class1,SLA-1*02:03,SLA-1,42,B39,B,4.466464361030376e-06
class1,SLA-1*02:03,SLA-1,42,B40,B,0.433369904756546
class1,SLA-1*02:03,SLA-1,42,B41,B,0.004374851007014513
class1,SLA-1*02:03,SLA-1,42,B44,B,0.000337668665451929
class1,SLA-1*02:03,SLA-1,42,B46,B,0.001078036380931735
class1,SLA-1*02:03,SLA-1,42,B49,B,0.00029995173099450767
class1,SLA-1*02:03,SLA-1,42,B50,B,0.0009071117965504527
class1,SLA-1*02:03,SLA-1,42,B51,B,2.8851951356045902e-05
class1,SLA-1*02:03,SLA-1,42,B52,B,8.727786189410836e-05
class1,SLA-1*02:03,SLA-1,42,B53,B,3.605943493312225e-05
class1,SLA-1*02:03,SLA-1,42,B55,B,7.770886440994218e-06
class1,SLA-1*02:03,SLA-1,42,B56,B,2.7409530957811512e-05
class1,SLA-1*02:03,SLA-1,42,B57,B,0.0009139975300058722
class1,SLA-1*02:03,SLA-1,42,B58,B,0.0001415427977917716
class1,SLA-1*02:03,SLA-1,42,B_Other,B,0.0007758342544548213
class1,SLA-1*02:03,SLA-1,42,C01,C,0.017733629792928696
class1,SLA-1*02:03,SLA-1,42,C02,C,0.0008917718078009784
class1,SLA-1*02:03,SLA-1,42,C03,C,1.0276350622007158e-05
class1,SLA-1*02:03,SLA-1,42,C04,C,0.007809065282344818
class1,SLA-1*02:03,SLA-1,42,C05,C,6.44136089249514e-05
class1,SLA-1*02:03,SLA-1,42,C06,C,0.02627318911254406
class1,SLA-1*02:03,SLA-1,42,C07,C,0.010314186103641987
class1,SLA-1*02:03,SLA-1,42,C08,C,1.4645096598542295e-05
class1,SLA-1*02:03,SLA-1,42,C12,C,8.156756666721776e-05
class1,SLA-1*02:03,SLA-1,42,C14,C,0.0008494390640407801
class1,SLA-1*02:03,SLA-1,42,C15,C,0.001095426152460277
class1,SLA-1*02:03,SLA-1,42,C16,C,0.005720333196222782
class1,SLA-1*02:03,SLA-1,42,C17,C,0.0008097036625258625
class1,SLA-1*02:03,SLA-1,42,C_Other,C,0.001429776195436716
class1,SLA-1*04:01:01,SLA-1,42,A01,A,0.03640120476484299
class1,SLA-1*04:01:01,SLA-1,42,A02,A,0.0023058904334902763
class1,SLA-1*04:01:01,SLA-1,42,A03,A,0.002678324468433857
class1,SLA-1*04:01:01,SLA-1,42,A11,A,0.00882214680314064
class1,SLA-1*04:01:01,SLA-1,42,A23,A,0.000969601736869663
class1,SLA-1*04:01:01,SLA-1,42,A24,A,0.07359365373849869
class1,SLA-1*04:01:01,SLA-1,42,A25,A,0.0010315875988453627
class1,SLA-1*04:01:01,SLA-1,42,A26,A,0.0018364981515333056
class1,SLA-1*04:01:01,SLA-1,42,A29,A,1.1835326404252555e-05
class1,SLA-1*04:01:01,SLA-1,42,A30,A,0.0002090021880576387
class1,SLA-1*04:01:01,SLA-1,42,A31,A,0.0001516107004135847
class1,SLA-1*04:01:01,SLA-1,42,A32,A,0.0012267818674445152
class1,SLA-1*04:01:01,SLA-1,42,A33,A,6.894343096064404e-05
class1,SLA-1*04:01:01,SLA-1,42,A68,A,0.001981806242838502
class1,SLA-1*04:01:01,SLA-1,42,A_Other,A,0.0013316813856363297
class1,SLA-1*04:01:01,SLA-1,42,B07,B,0.006483777891844511
class1,SLA-1*04:01:01,SLA-1,42,B08,B,0.005644426681101322
class1,SLA-1*04:01:01,SLA-1,42,B13,B,0.0038101444952189922
class1,SLA-1*04:01:01,SLA-1,42,B14,B,0.00011472542973933741
class1,SLA-1*04:01:01,SLA-1,42,B15,B,0.058890264481306076
class1,SLA-1*04:01:01,SLA-1,42,B18,B,0.017908643931150436
class1,SLA-1*04:01:01,SLA-1,42,B27,B,0.0010760384611785412
class1,SLA-1*04:01:01,SLA-1,42,B35,B,0.000792585255112499
class1,SLA-1*04:01:01,SLA-1,42,B37,B,0.001643130206502974
class1,SLA-1*04:01:01,SLA-1,42,B38,B,6.599547486985102e-05
class1,SLA-1*04:01:01,SLA-1,42,B39,B,1.6032267012633383e-05
class1,SLA-1*04:01:01,SLA-1,42,B40,B,0.679184079170227
class1,SLA-1*04:01:01,SLA-1,42,B41,B,0.014699108898639679
class1,SLA-1*04:01:01,SLA-1,42,B44,B,0.00291044102050364
class1,SLA-1*04:01:01,SLA-1,42,B46,B,0.0006119002355262637
class1,SLA-1*04:01:01,SLA-1,42,B49,B,0.00045957419206388295
class1,SLA-1*04:01:01,SLA-1,42,B50,B,0.0010289695346727967
class1,SLA-1*04:01:01,SLA-1,42,B51,B,0.00012689820141531527
class1,SLA-1*04:01:01,SLA-1,42,B52,B,0.0005190505180507898
class1,SLA-1*04:01:01,SLA-1,42,B53,B,3.771003321162425e-05
class1,SLA-1*04:01:01,SLA-1,42,B55,B,1.8737417121883482e-05
class1,SLA-1*04:01:01,SLA-1,42,B56,B,5.005515049560927e-05
class1,SLA-1*04:01:01,SLA-1,42,B57,B,0.002691128756850958
class1,SLA-1*04:01:01,SLA-1,42,B58,B,0.00027501091244630516
class1,SLA-1*04:01:01,SLA-1,42,B_Other,B,0.00476883864030242
class1,SLA-1*04:01:01,SLA-1,42,C01,C,0.004314950667321682
class1,SLA-1*04:01:01,SLA-1,42,C02,C,0.0013018581084907055
class1,SLA-1*04:01:01,SLA-1,42,C03,C,5.818511635879986e-05
class1,SLA-1*04:01:01,SLA-1,42,C04,C,0.03133326396346092
class1,SLA-1*04:01:01,SLA-1,42,C05,C,4.9451620725449175e-05
class1,SLA-1*04:01:01,SLA-1,42,C06,C,0.007290264591574669
class1,SLA-1*04:01:01,SLA-1,42,C07,C,0.012120403349399567
class1,SLA-1*04:01:01,SLA-1,42,C08,C,3.2698681025067344e-05
class1,SLA-1*04:01:01,SLA-1,42,C12,C,4.446430830284953e-05
class1,SLA-1*04:01:01,SLA-1,42,C14,C,0.0005188280483707786
class1,SLA-1*04:01:01,SLA-1,42,C15,C,0.0017633660463616252
class1,SLA-1*04:01:01,SLA-1,42,C16,C,0.0018571222899481654
class1,SLA-1*04:01:01,SLA-1,42,C17,C,0.0003763986169360578
class1,SLA-1*04:01:01,SLA-1,42,C_Other,C,0.0024909507483243942
class1,SLA-1*04:03,SLA-1,42,A01,A,0.03492610901594162
class1,SLA-1*04:03,SLA-1,42,A02,A,0.000919851940125227
class1,SLA-1*04:03,SLA-1,42,A03,A,0.004456905648112297
class1,SLA-1*04:03,SLA-1,42,A11,A,0.008497478440403938
class1,SLA-1*04:03,SLA-1,42,A23,A,0.0017938365926966071
class1,SLA-1*04:03,SLA-1,42,A24,A,0.11259445548057556
