analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,median_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,n_sequences_top_subgroup,mean_seeds_voting_this_subgroup
class1,SLA-1,B15,B,89,0.06049,0.021634,5.38358,0.037019,0.049475,0.073803,0.1124,10,0.3371
class1,SLA-1,B18,B,89,0.007391,0.003655,0.657769,0.010574,0.002723,0.00902,0.0,0,0.0337
class1,SLA-1,B27,B,89,0.010533,0.008636,0.937406,0.012585,0.005436,0.013001,0.0,0,0.0449
class1,SLA-1,B35,B,89,0.003038,0.001165,0.270347,0.002597,0.001939,0.003504,0.0,0,0.0
class1,SLA-1,B37,B,89,0.009793,0.003561,0.871537,0.010461,0.006296,0.012164,0.0,0,0.0337
class1,SLA-1,B38,B,89,0.003537,0.002004,0.314778,0.005224,0.001216,0.004371,0.0,0,0.0
class1,SLA-1,B39,B,89,0.002881,0.001653,0.256432,0.003017,0.001562,0.003364,0.0,0,0.0
class1,SLA-1,B40,B,89,0.10408,0.103784,9.263157,0.154041,0.040826,0.129354,0.2247,20,0.7416
class1,SLA-1,B41,B,89,0.017207,0.01008,1.53142,0.019597,0.009376,0.020885,0.0,0,0.0787
class1,SLA-1,B44,B,89,0.008165,0.003318,0.726647,0.004622,0.006891,0.009419,0.0112,1,0.0112
class1,SLA-1,B46,B,89,0.010883,0.005446,0.968544,0.007049,0.008679,0.013252,0.0,0,0.0225
class1,SLA-1,B49,B,89,0.00679,0.003067,0.604341,0.007327,0.004302,0.008446,0.0,0,0.0
class1,SLA-1,B50,B,89,0.009302,0.003839,0.827843,0.006952,0.007237,0.011538,0.0,0,0.0225
class1,SLA-1,B51,B,89,0.002651,0.00169,0.235901,0.002753,0.001498,0.003246,0.0,0,0.0
class1,SLA-1,B52,B,89,0.005322,0.002575,0.473675,0.00425,0.003796,0.00658,0.0,0,0.0
class1,SLA-1,B53,B,89,0.003934,0.003183,0.350142,0.003433,0.002946,0.004849,0.0,0,0.0
class1,SLA-1,B55,B,89,0.010249,0.003357,0.912202,0.007003,0.008447,0.012634,0.0,0,0.0225
class1,SLA-1,B56,B,89,0.009544,0.004942,0.849424,0.010706,0.00615,0.011876,0.0,0,0.0337
class1,SLA-1,B57,B,89,0.014288,0.007208,1.271612,0.010087,0.011097,0.017654,0.0112,1,0.0449
class1,SLA-1,B58,B,89,0.022767,0.017385,2.026229,0.024892,0.016124,0.02843,0.0,0,0.0562
class1,SLA-1,B_Other,B,89,0.046793,0.00648,4.164571,0.029332,0.038692,0.057381,0.0562,5,0.3146
class1,SLA-1,C01,C,89,0.014793,0.005322,1.316545,0.01151,0.010514,0.017242,0.0225,2,0.0449
class1,SLA-1,C02,C,89,0.009562,0.00588,0.851022,0.014421,0.003151,0.011699,0.0,0,0.0225
class1,SLA-1,C03,C,89,0.039619,0.022955,3.526133,0.057776,0.015677,0.049476,0.0112,1,0.2584
class1,SLA-1,C04,C,89,0.009731,0.004102,0.866103,0.010285,0.00569,0.012103,0.0,0,0.0337
class1,SLA-1,C05,C,89,0.020238,0.01052,1.801206,0.022467,0.013478,0.02516,0.0,0,0.1573
class1,SLA-1,C06,C,89,0.009221,0.003714,0.820654,0.013361,0.003287,0.011149,0.0,0,0.0225
class1,SLA-1,C07,C,89,0.013816,0.004886,1.229641,0.014578,0.008283,0.017132,0.0112,1,0.0674
class1,SLA-1,C08,C,89,0.034698,0.028367,3.088138,0.036653,0.022446,0.043104,0.0,0,0.1798
class1,SLA-1,C12,C,89,0.011353,0.008018,1.010383,0.009542,0.008493,0.014162,0.0112,1,0.0112
class1,SLA-1,C14,C,89,0.011534,0.00416,1.026516,0.010208,0.007626,0.014203,0.0225,2,0.0562
class1,SLA-1,C15,C,89,0.011877,0.009337,1.057032,0.01262,0.006475,0.014677,0.0,0,0.0449
class1,SLA-1,C16,C,89,0.009908,0.005239,0.881829,0.010781,0.005216,0.012024,0.0,0,0.0337
class1,SLA-1,C17,C,89,0.017535,0.009891,1.560607,0.022111,0.009631,0.021822,0.0,0,0.1461
class1,SLA-1,C_Other,C,89,0.003551,0.002719,0.316015,0.002448,0.002855,0.004218,0.0,0,0.0
class1,SLA-11,A01,A,2,0.010976,0.010976,0.021952,0.012425,0.006423,0.013537,0.0,0,0.0
class1,SLA-11,A02,A,2,0.099544,0.099544,0.199088,0.210477,0.005419,0.12372,0.0,0,1.0
class1,SLA-11,A03,A,2,0.016218,0.016218,0.032436,0.027709,0.003921,0.020145,0.0,0,0.0
class1,SLA-11,A11,A,2,0.002695,0.002695,0.00539,0.003654,0.001075,0.003227,0.0,0,0.0
class1,SLA-11,A23,A,2,0.03216,0.03216,0.06432,0.034589,0.019375,0.03971,0.0,0,0.0
class1,SLA-11,A24,A,2,0.023483,0.023483,0.046966,0.038375,0.006521,0.029288,0.0,0,0.0
class1,SLA-11,A25,A,2,0.02423,0.02423,0.048459,0.039153,0.006884,0.029763,0.0,0,0.0
class1,SLA-11,A26,A,2,0.005086,0.005086,0.010172,0.007519,0.001814,0.006342,0.0,0,0.0
class1,SLA-11,A29,A,2,0.037068,0.037068,0.074135,0.077583,0.002393,0.046288,0.0,0,1.0
class1,SLA-11,A30,A,2,0.009288,0.009288,0.018576,0.018714,0.000922,0.011525,0.0,0,0.0
class1,SLA-11,A31,A,2,0.005369,0.005369,0.010739,0.009227,0.001246,0.006466,0.0,0,0.0
class1,SLA-11,A32,A,2,0.006499,0.006499,0.012998,0.006777,0.003847,0.007957,0.0,0,0.0
class1,SLA-11,A33,A,2,0.006253,0.006253,0.012505,0.006178,0.004014,0.007799,0.0,0,0.0
class1,SLA-11,A68,A,2,0.009809,0.009809,0.019619,0.008804,0.007409,0.012175,0.0,0,0.0
class1,SLA-11,A_Other,A,2,0.006618,0.006618,0.013236,0.007808,0.003346,0.008037,0.0,0,0.0
class1,SLA-11,B07,B,2,0.011522,0.011522,0.023045,0.014257,0.00638,0.014268,0.0,0,0.0
class1,SLA-11,B08,B,2,0.023977,0.023977,0.047953,0.049265,0.001973,0.029927,0.0,0,0.0
class1,SLA-11,B13,B,2,0.019774,0.019774,0.039549,0.033076,0.005316,0.024605,0.0,0,0.0
class1,SLA-11,B14,B,2,0.021597,0.021597,0.043193,0.040532,0.003562,0.026954,0.0,0,0.5
class1,SLA-11,B15,B,2,0.002391,0.002391,0.004781,0.002071,0.001563,0.002828,0.0,0,0.0
class1,SLA-11,B18,B,2,0.000606,0.000606,0.001213,0.000402,0.000446,0.000691,0.0,0,0.0
class1,SLA-11,B27,B,2,0.042663,0.042663,0.085327,0.069358,0.011841,0.052863,0.0,0,1.0
class1,SLA-11,B35,B,2,0.000584,0.000584,0.001167,0.000167,0.000513,0.000622,0.0,0,0.0
class1,SLA-11,B37,B,2,0.017292,0.017292,0.034584,0.026005,0.005896,0.021436,0.0,0,0.0
class1,SLA-11,B38,B,2,0.007246,0.007246,0.014492,0.013799,0.001102,0.009018,0.0,0,0.0
class1,SLA-11,B39,B,2,0.004436,0.004436,0.008872,0.007313,0.001186,0.005543,0.0,0,0.0
class1,SLA-11,B40,B,2,0.149919,0.149919,0.299837,0.305079,0.013614,0.187304,1.0,2,1.0
class1,SLA-11,B41,B,2,0.010623,0.010623,0.021246,0.008647,0.008228,0.012235,0.0,0,0.0
class1,SLA-11,B44,B,2,0.00359,0.00359,0.007181,0.005353,0.001209,0.004384,0.0,0,0.0
class1,SLA-11,B46,B,2,0.015946,0.015946,0.031892,0.025125,0.004856,0.019804,0.0,0,0.0
class1,SLA-11,B49,B,2,0.018172,0.018172,0.036343,0.027703,0.006783,0.022689,0.0,0,0.0
class1,SLA-11,B50,B,2,0.020386,0.020386,0.040771,0.032619,0.006074,0.025432,0.0,0,0.0
class1,SLA-11,B51,B,2,0.00309,0.00309,0.00618,0.003879,0.00146,0.00386,0.0,0,0.0
class1,SLA-11,B52,B,2,0.011233,0.011233,0.022467,0.017561,0.003794,0.013979,0.0,0,0.0
class1,SLA-11,B53,B,2,0.007637,0.007637,0.015274,0.008963,0.004139,0.009513,0.0,0,0.0
class1,SLA-11,B55,B,2,0.024151,0.024151,0.048302,0.034546,0.010199,0.030144,0.0,0,0.0
class1,SLA-11,B56,B,2,0.02723,0.02723,0.05446,0.038993,0.010924,0.034014,0.0,0,0.5
class1,SLA-11,B57,B,2,0.014329,0.014329,0.028659,0.012291,0.010782,0.017719,0.0,0,0.0
class1,SLA-11,B58,B,2,0.031301,0.031301,0.062603,0.041107,0.015068,0.039107,0.0,0,0.0
class1,SLA-11,B_Other,B,2,0.021083,0.021083,0.042166,0.034722,0.005657,0.026029,0.0,0,0.0
class1,SLA-11,C01,C,2,0.01356,0.01356,0.027121,0.011814,0.009935,0.016676,0.0,0,0.0
class1,SLA-11,C02,C,2,0.01522,0.01522,0.030439,0.020547,0.00647,0.018943,0.0,0,0.0
class1,SLA-11,C03,C,2,0.015436,0.015436,0.030872,0.02069,0.009031,0.019286,0.0,0,0.0
class1,SLA-11,C04,C,2,0.00369,0.00369,0.00738,0.005239,0.001473,0.00459,0.0,0,0.0
class1,SLA-11,C05,C,2,0.005851,0.005851,0.011703,0.00693,0.003127,0.00724,0.0,0,0.0
class1,SLA-11,C06,C,2,0.0015,0.0015,0.003,0.001732,0.000746,0.001859,0.0,0,0.0
class1,SLA-11,C07,C,2,0.001814,0.001814,0.003629,0.001992,0.00101,0.00223,0.0,0,0.0
class1,SLA-11,C08,C,2,0.042216,0.042216,0.084433,0.061948,0.017511,0.052767,0.0,0,0.0
class1,SLA-11,C12,C,2,0.005658,0.005658,0.011317,0.005866,0.003948,0.007072,0.0,0,0.0
class1,SLA-11,C14,C,2,0.005597,0.005597,0.011193,0.004581,0.004529,0.006952,0.0,0,0.0
class1,SLA-11,C15,C,2,0.014405,0.014405,0.02881,0.02447,0.003512,0.017772,0.0,0,0.0
class1,SLA-11,C16,C,2,0.022798,0.022798,0.045596,0.043572,0.003411,0.028406,0.0,0,0.0
class1,SLA-11,C17,C,2,0.036662,0.036662,0.073323,0.047237,0.016056,0.045645,0.0,0,0.0
class1,SLA-11,C_Other,C,2,0.009519,0.009519,0.019038,0.011667,0.004878,0.011783,0.0,0,0.0
class1,SLA-12,A01,A,6,0.002724,0.002466,0.016344,0.000828,0.002376,0.002931,0.0,0,0.0
class1,SLA-12,A02,A,6,0.011016,0.010525,0.066093,0.019519,0.002308,0.013637,0.0,0,0.0
class1,SLA-12,A03,A,6,0.061249,0.066242,0.367497,0.127943,0.004045,0.076403,0.0,0,0.8333
class1,SLA-12,A11,A,6,0.003535,0.002978,0.02121,0.004502,0.001553,0.004303,0.0,0,0.0
class1,SLA-12,A23,A,6,0.031317,0.029035,0.1879,0.02662,0.020309,0.038262,0.0,0,0.1667
class1,SLA-12,A24,A,6,0.035153,0.036734,0.210921,0.069397,0.004166,0.043855,0.0,0,0.3333
class1,SLA-12,A25,A,6,0.09558,0.097521,0.57348,0.108342,0.052619,0.119131,0.8333,5,1.0
class1,SLA-12,A26,A,6,0.006766,0.006895,0.040595,0.006281,0.004372,0.008343,0.0,0,0.0
class1,SLA-12,A29,A,6,0.021758,0.019916,0.130545,0.032835,0.007466,0.027151,0.0,0,0.0
class1,SLA-12,A30,A,6,0.005609,0.004867,0.033651,0.004441,0.003812,0.006623,0.0,0,0.0
class1,SLA-12,A31,A,6,0.006203,0.003319,0.037217,0.00726,0.003339,0.007636,0.0,0,0.0
class1,SLA-12,A32,A,6,0.02106,0.017917,0.12636,0.022716,0.011331,0.025218,0.0,0,0.0
class1,SLA-12,A33,A,6,0.010447,0.010035,0.062683,0.008881,0.006673,0.012121,0.0,0,0.0
class1,SLA-12,A68,A,6,0.028731,0.03323,0.172387,0.042327,0.010076,0.035583,0.0,0,0.0
class1,SLA-12,A_Other,A,6,0.017811,0.016532,0.106864,0.015939,0.011249,0.021337,0.0,0,0.0
class1,SLA-12,B07,B,6,0.005647,0.005411,0.033881,0.008047,0.002306,0.00701,0.0,0,0.0
class1,SLA-12,B08,B,6,0.015651,0.012341,0.093907,0.026244,0.004023,0.019473,0.0,0,0.1667
class1,SLA-12,B13,B,6,0.009688,0.008977,0.05813,0.013499,0.003938,0.011976,0.0,0,0.0
class1,SLA-12,B14,B,6,0.010068,0.009859,0.060407,0.006624,0.00743,0.011672,0.0,0,0.0
class1,SLA-12,B15,B,6,0.007726,0.007691,0.046354,0.00799,0.004612,0.009626,0.0,0,0.0
class1,SLA-12,B18,B,6,0.015231,0.015764,0.091386,0.031562,0.001119,0.018877,0.0,0,0.0
class1,SLA-12,B27,B,6,0.010865,0.010332,0.065191,0.014264,0.004752,0.01349,0.0,0,0.0
class1,SLA-12,B35,B,6,0.001092,0.001093,0.006549,0.000768,0.000892,0.001335,0.0,0,0.0
class1,SLA-12,B37,B,6,0.014122,0.011829,0.084735,0.014597,0.008089,0.017358,0.0,0,0.0
class1,SLA-12,B38,B,6,0.011891,0.009151,0.071347,0.013958,0.006148,0.01467,0.0,0,0.0
class1,SLA-12,B39,B,6,0.00317,0.00255,0.019019,0.00295,0.002031,0.003772,0.0,0,0.0
class1,SLA-12,B40,B,6,0.020053,0.019483,0.120316,0.031987,0.006387,0.025057,0.0,0,0.0
class1,SLA-12,B41,B,6,0.048823,0.050502,0.292937,0.09279,0.007438,0.060357,0.0,0,0.6667
class1,SLA-12,B44,B,6,0.008224,0.007983,0.049346,0.007016,0.005762,0.010256,0.0,0,0.0
class1,SLA-12,B46,B,6,0.011385,0.009595,0.068309,0.009354,0.008702,0.014081,0.0,0,0.0
class1,SLA-12,B49,B,6,0.007019,0.006891,0.042113,0.006449,0.004427,0.00842,0.0,0,0.0
class1,SLA-12,B50,B,6,0.009839,0.009698,0.059036,0.008442,0.006607,0.012171,0.0,0,0.0
class1,SLA-12,B51,B,6,0.011125,0.011246,0.066748,0.019607,0.002388,0.013741,0.0,0,0.0
class1,SLA-12,B52,B,6,0.011922,0.013222,0.07153,0.012152,0.007823,0.014634,0.0,0,0.0
class1,SLA-12,B53,B,6,0.011149,0.011055,0.066894,0.008686,0.008942,0.013794,0.0,0,0.0
class1,SLA-12,B55,B,6,0.006282,0.005614,0.037692,0.007266,0.003075,0.007534,0.0,0,0.0
class1,SLA-12,B56,B,6,0.006219,0.006232,0.037312,0.007474,0.003244,0.007656,0.0,0,0.0
class1,SLA-12,B57,B,6,0.034878,0.03648,0.209268,0.021628,0.025887,0.040234,0.0,0,0.0
class1,SLA-12,B58,B,6,0.021805,0.023959,0.130827,0.027531,0.011299,0.027042,0.0,0,0.0
class1,SLA-12,B_Other,B,6,0.006354,0.00559,0.038126,0.009193,0.002262,0.007667,0.0,0,0.0
class1,SLA-12,C01,C,6,0.013296,0.009442,0.079777,0.009019,0.009804,0.015858,0.0,0,0.0
class1,SLA-12,C02,C,6,0.015379,0.014738,0.092273,0.02152,0.006536,0.019148,0.0,0,0.0
class1,SLA-12,C03,C,6,0.002138,0.002027,0.01283,0.002531,0.00111,0.002637,0.0,0,0.0
class1,SLA-12,C04,C,6,0.014335,0.015387,0.086012,0.030804,0.000561,0.01789,0.0,0,0.0
class1,SLA-12,C05,C,6,0.035817,0.036309,0.214901,0.041076,0.02126,0.04461,0.0,0,0.0
class1,SLA-12,C06,C,6,0.0024,0.002353,0.014397,0.00281,0.001178,0.002909,0.0,0,0.0
class1,SLA-12,C07,C,6,0.001751,0.001336,0.010509,0.001839,0.00117,0.002138,0.0,0,0.0
class1,SLA-12,C08,C,6,0.053349,0.053012,0.320095,0.088461,0.014194,0.066609,0.0,0,0.1667
class1,SLA-12,C12,C,6,0.012994,0.010651,0.077966,0.010012,0.009326,0.016179,0.0,0,0.0
class1,SLA-12,C14,C,6,0.021081,0.021523,0.126489,0.017724,0.014459,0.025927,0.0,0,0.0
class1,SLA-12,C15,C,6,0.016571,0.016844,0.099424,0.016854,0.010021,0.020502,0.0,0,0.0
class1,SLA-12,C16,C,6,0.065721,0.063591,0.394325,0.128605,0.008266,0.081763,0.1667,1,1.0
class1,SLA-12,C17,C,6,0.059729,0.061466,0.358372,0.077606,0.034547,0.074079,0.0,0,0.6667
class1,SLA-12,C_Other,C,6,0.006253,0.006235,0.037519,0.00455,0.004718,0.007388,0.0,0,0.0
class1,SLA-2,A01,A,97,0.023751,0.010265,2.303827,0.022038,0.015533,0.028976,0.0103,1,0.0825
class1,SLA-2,A02,A,97,0.031694,0.020864,3.07434,0.035866,0.016815,0.038491,0.0103,1,0.134
class1,SLA-2,A03,A,97,0.063349,0.031428,6.144844,0.095635,0.021016,0.078422,0.1031,10,0.4845
class1,SLA-2,A11,A,97,0.00923,0.004005,0.895313,0.003094,0.008587,0.010519,0.0,0,0.0
class1,SLA-2,A23,A,97,0.013427,0.009256,1.302429,0.012592,0.009365,0.016478,0.0,0,0.0309
class1,SLA-2,A24,A,97,0.037829,0.0129,3.66938,0.034601,0.027488,0.046628,0.0928,9,0.1856
class1,SLA-2,A25,A,97,0.014858,0.007785,1.441191,0.014856,0.008739,0.018085,0.0103,1,0.0619
class1,SLA-2,A26,A,97,0.007276,0.002168,0.705761,0.005007,0.006102,0.008968,0.0,0,0.0103
class1,SLA-2,A29,A,97,0.025213,0.003304,2.445689,0.035008,0.011169,0.031463,0.0412,4,0.1546
class1,SLA-2,A30,A,97,0.012341,0.00175,1.19706,0.01181,0.007921,0.015208,0.0103,1,0.0619
class1,SLA-2,A31,A,97,0.003593,0.001833,0.348474,0.003559,0.00206,0.004329,0.0,0,0.0
class1,SLA-2,A32,A,97,0.006283,0.003328,0.609473,0.006835,0.003362,0.007642,0.0,0,0.0206
class1,SLA-2,A33,A,97,0.007304,0.004019,0.708506,0.00727,0.004536,0.008725,0.0,0,0.0103
class1,SLA-2,A68,A,97,0.038917,0.006888,3.774961,0.013525,0.033417,0.042204,0.0825,8,0.2784
class1,SLA-2,A_Other,A,97,0.01244,0.003495,1.206642,0.008841,0.010415,0.015042,0.0,0,0.0515
class1,SLA-2,B07,B,97,0.024657,0.010601,2.391764,0.026395,0.015405,0.030215,0.0,0,0.1237
class1,SLA-2,B08,B,97,0.026071,0.014995,2.528859,0.04556,0.005814,0.032172,0.0206,2,0.134
class1,SLA-2,B13,B,97,0.02124,0.008756,2.06027,0.027361,0.009656,0.025986,0.0206,2,0.1546
class1,SLA-2,B14,B,97,0.012956,0.00934,1.256684,0.014176,0.007029,0.015421,0.0103,1,0.0515
class1,SLA-2,B15,B,97,0.044655,0.007273,4.331556,0.025801,0.034001,0.050081,0.1134,11,0.2784
class1,SLA-2,B18,B,97,0.006377,0.003388,0.618597,0.008774,0.002571,0.00775,0.0,0,0.0
class1,SLA-2,B27,B,97,0.019681,0.010522,1.909027,0.028331,0.007116,0.023697,0.0,0,0.1443
class1,SLA-2,B35,B,97,0.002354,0.00132,0.228347,0.001351,0.001972,0.002721,0.0,0,0.0
class1,SLA-2,B37,B,97,0.022419,0.013116,2.174653,0.027502,0.010311,0.027126,0.0103,1,0.1649
class1,SLA-2,B38,B,97,0.005255,0.004155,0.509746,0.00641,0.002449,0.006353,0.0,0,0.0
class1,SLA-2,B39,B,97,0.003569,0.00231,0.34623,0.003545,0.002178,0.004362,0.0,0,0.0
class1,SLA-2,B40,B,97,0.114659,0.074344,11.121875,0.138831,0.063398,0.143158,0.2887,28,0.7938
class1,SLA-2,B41,B,97,0.031819,0.014482,3.086439,0.033324,0.017431,0.037893,0.0309,3,0.1649
class1,SLA-2,B44,B,97,0.012009,0.004973,1.164875,0.01416,0.005682,0.013802,0.0,0,0.0103
class1,SLA-2,B46,B,97,0.011101,0.005466,1.076842,0.007321,0.009278,0.013578,0.0,0,0.0309
class1,SLA-2,B49,B,97,0.016637,0.009402,1.613744,0.020537,0.008501,0.02007,0.0,0,0.0722
class1,SLA-2,B50,B,97,0.021651,0.012334,2.100139,0.016604,0.015954,0.025525,0.0,0,0.0722
class1,SLA-2,B51,B,97,0.00658,0.001595,0.638284,0.004551,0.005023,0.007942,0.0,0,0.0309
class1,SLA-2,B52,B,97,0.009256,0.007382,0.897801,0.007331,0.006605,0.011145,0.0,0,0.0103
class1,SLA-2,B53,B,97,0.006503,0.005926,0.630753,0.007299,0.003542,0.008064,0.0,0,0.0
class1,SLA-2,B55,B,97,0.01547,0.007528,1.500563,0.013911,0.011901,0.01911,0.0,0,0.0619
class1,SLA-2,B56,B,97,0.012925,0.009217,1.253751,0.014752,0.008527,0.015949,0.0,0,0.0103
class1,SLA-2,B57,B,97,0.018089,0.009036,1.75462,0.009965,0.016078,0.022096,0.0,0,0.0928
class1,SLA-2,B58,B,97,0.025669,0.019509,2.489906,0.02738,0.016485,0.031996,0.0,0,0.1237
class1,SLA-2,B_Other,B,97,0.036463,0.012779,3.536937,0.020374,0.030371,0.043806,0.0722,7,0.2268
class1,SLA-2,C01,C,97,0.010521,0.005682,1.020556,0.006498,0.007935,0.011915,0.0,0,0.0309
class1,SLA-2,C02,C,97,0.008598,0.005671,0.834014,0.01364,0.002522,0.010515,0.0,0,0.0206
class1,SLA-2,C03,C,97,0.023365,0.00999,2.266404,0.032179,0.010464,0.029171,0.0206,2,0.1546
class1,SLA-2,C04,C,97,0.006549,0.004072,0.635227,0.006991,0.003846,0.008104,0.0,0,0.0
class1,SLA-2,C05,C,97,0.015012,0.009152,1.45617,0.016042,0.00937,0.01868,0.0103,1,0.0619
class1,SLA-2,C06,C,97,0.006809,0.003256,0.660456,0.006693,0.00444,0.008196,0.0,0,0.0103
class1,SLA-2,C07,C,97,0.007873,0.003344,0.763688,0.006886,0.005433,0.009536,0.0103,1,0.0103
class1,SLA-2,C08,C,97,0.030424,0.022658,2.951127,0.033053,0.020431,0.037951,0.0103,1,0.2062
class1,SLA-2,C12,C,97,0.008741,0.003837,0.847918,0.008478,0.006268,0.010904,0.0,0,0.0206
class1,SLA-2,C14,C,97,0.009088,0.005692,0.881518,0.006251,0.006695,0.010498,0.0,0,0.0412
class1,SLA-2,C15,C,97,0.008361,0.006548,0.811041,0.007704,0.005248,0.010297,0.0,0,0.0103
class1,SLA-2,C16,C,97,0.008914,0.005265,0.864688,0.01073,0.004181,0.010842,0.0,0,0.0206
class1,SLA-2,C17,C,97,0.015831,0.010221,1.535572,0.01983,0.008021,0.019579,0.0206,2,0.0928
class1,SLA-2,C_Other,C,97,0.004345,0.004168,0.421468,0.002702,0.003518,0.00509,0.0,0,0.0
class1,SLA-3,A01,A,43,0.038778,0.03523,1.667434,0.059246,0.013173,0.048311,0.0,0,0.0
class1,SLA-3,A02,A,43,0.091008,0.072792,3.913355,0.0793,0.066346,0.111553,0.3256,14,0.4186
class1,SLA-3,A03,A,43,0.079583,0.069919,3.422058,0.172791,0.00231,0.099407,0.0233,1,0.814
class1,SLA-3,A11,A,43,0.008342,0.00667,0.358713,0.010437,0.003963,0.010207,0.0,0,0.0
class1,SLA-3,A23,A,43,0.011276,0.006221,0.484864,0.011766,0.007324,0.014024,0.0,0,0.0233
class1,SLA-3,A24,A,43,0.016387,0.012546,0.704651,0.026035,0.004906,0.020216,0.0,0,0.0233
class1,SLA-3,A25,A,43,0.005879,0.00405,0.252776,0.006122,0.004201,0.007151,0.0,0,0.0
class1,SLA-3,A26,A,43,0.007104,0.001458,0.305452,0.01223,0.001652,0.008787,0.0,0,0.0465
class1,SLA-3,A29,A,43,0.064582,0.062633,2.777016,0.114147,0.01436,0.080714,0.0465,2,0.5814
class1,SLA-3,A30,A,43,0.00705,0.001704,0.303157,0.010812,0.002289,0.008772,0.0,0,0.0233
class1,SLA-3,A31,A,43,0.001645,0.001354,0.070724,0.001149,0.001367,0.001967,0.0,0,0.0
class1,SLA-3,A32,A,43,0.0046,0.00252,0.197819,0.005872,0.002441,0.005703,0.0,0,0.0
class1,SLA-3,A33,A,43,0.003187,0.002648,0.13705,0.003256,0.001918,0.003967,0.0,0,0.0
class1,SLA-3,A68,A,43,0.012752,0.007734,0.548349,0.01355,0.007286,0.015601,0.0,0,0.0233
class1,SLA-3,A_Other,A,43,0.010562,0.002024,0.454176,0.019375,0.0019,0.012847,0.0,0,0.0465
class1,SLA-3,B07,B,43,0.059187,0.02944,2.545034,0.064482,0.035256,0.073904,0.1395,6,0.3953
class1,SLA-3,B08,B,43,0.027123,0.022759,1.166297,0.031529,0.013535,0.032958,0.0,0,0.0233
class1,SLA-3,B13,B,43,0.00852,0.000653,0.366366,0.014415,0.002198,0.010617,0.0,0,0.186
class1,SLA-3,B14,B,43,0.006192,0.004226,0.266255,0.008478,0.002569,0.007721,0.0,0,0.0233
class1,SLA-3,B15,B,43,0.027021,0.018469,1.161888,0.022376,0.019953,0.032708,0.0233,1,0.0698
class1,SLA-3,B18,B,43,0.011606,0.003331,0.499041,0.016817,0.004704,0.014463,0.0,0,0.0233
class1,SLA-3,B27,B,43,0.016464,0.010557,0.707967,0.029796,0.003325,0.020487,0.0,0,0.186
class1,SLA-3,B35,B,43,0.003011,0.001056,0.12947,0.003661,0.001405,0.003622,0.0,0,0.0
class1,SLA-3,B37,B,43,0.004775,0.00126,0.205322,0.008048,0.0012,0.005915,0.0,0,0.0
class1,SLA-3,B38,B,43,0.001942,0.001602,0.083516,0.00271,0.000783,0.002421,0.0,0,0.0
