analysis,sla_locus,hla_subgroup,mean_probability,rendered
class1,SLA-8,B38,0.007217,True
class1,SLA-9,B14,0.007226,True
class1,SLA-9,A68,0.007242,True
class1,SLA-6,C02,0.007243,True
class1,SLA-7,B53,0.007244,True
class1,SLA-11,B38,0.007246,True
class1,SLA-2,A26,0.007276,True
class1,SLA-2,A33,0.007304,True
class1,SLA-9,A25,0.007359,True
class1,SLA-1,B18,0.007391,True
class1,SLA-6,A_Other,0.007399,True
class1,SLA-6,B58,0.007522,True
class1,SLA-3,C15,0.007582,True
class1,SLA-11,B53,0.007637,True
class1,SLA-1,A30,0.007724,True
class1,SLA-12,B15,0.007726,True
class1,SLA-2,C07,0.007873,True
class1,SLA-8,A02,0.008022,True
class1,SLA-7,C12,0.008085,True
class1,SLA-9,B37,0.008093,True
class1,SLA-9,A23,0.008118,True
class1,SLA-8,A_Other,0.008152,True
class1,SLA-1,B44,0.008165,True
class1,SLA-8,A25,0.00818,True
class1,SLA-9,B_Other,0.008192,True
class1,SLA-12,B44,0.008224,True
class1,SLA-9,A11,0.008278,True
class1,SLA-6,B57,0.008287,True
class1,SLA-3,A11,0.008342,True
class1,SLA-2,C15,0.008361,True
class1,SLA-3,B55,0.00841,True
class1,SLA-7,A24,0.008448,True
class1,SLA-3,B57,0.008459,True
class1,SLA-3,B13,0.00852,True
class1,SLA-2,C02,0.008598,True
class1,SLA-6,C15,0.008717,True
class1,SLA-2,C12,0.008741,True
class1,SLA-1,A11,0.008748,True
class1,SLA-7,B13,0.008765,True
class1,SLA-3,C16,0.008794,True
class1,SLA-3,B50,0.008795,True
class1,SLA-2,C16,0.008914,True
class1,SLA-7,B51,0.008938,True
class1,SLA-3,C12,0.00904,True
class1,SLA-6,A25,0.009069,True
class1,SLA-2,C14,0.009088,True
class1,SLA-6,A26,0.009165,True
class1,SLA-3,B56,0.009169,True
class1,SLA-1,A33,0.009172,True
class1,SLA-1,C06,0.009221,True
class1,SLA-2,A11,0.00923,True
class1,SLA-2,B52,0.009256,True
class1,SLA-9,C06,0.009267,True
class1,SLA-11,A30,0.009288,True
class1,SLA-1,B50,0.009302,True
class1,SLA-8,B14,0.009322,True
class1,SLA-7,A68,0.009398,True
class1,SLA-9,B08,0.009428,True
class1,SLA-11,C_Other,0.009519,True
class1,SLA-1,B56,0.009544,True
class1,SLA-1,C02,0.009562,True
class1,SLA-6,C04,0.009591,True
class1,SLA-12,B13,0.009688,True
class1,SLA-1,C04,0.009731,True
class1,SLA-1,A25,0.009753,True
class1,SLA-9,B56,0.009774,True
class1,SLA-1,B37,0.009793,True
class1,SLA-6,C16,0.009796,True
class1,SLA-11,A68,0.009809,True
class1,SLA-12,B50,0.009839,True
class1,SLA-9,A32,0.009841,True
class1,SLA-6,C_Other,0.009875,True
class1,SLA-1,C16,0.009908,True
class1,SLA-9,B52,0.010039,True
class1,SLA-12,B14,0.010068,True
class1,SLA-1,B55,0.010249,True
class1,SLA-7,C03,0.01027,True
class1,SLA-3,B41,0.010291,True
class1,SLA-1,B14,0.010393,True
class1,SLA-9,C01,0.010409,True
class1,SLA-12,A33,0.010447,True
class1,SLA-2,C01,0.010521,True
class1,SLA-1,B27,0.010533,True
class1,SLA-3,A_Other,0.010562,True
class1,SLA-11,B41,0.010623,True
class1,SLA-3,C17,0.010665,True
class1,SLA-6,B08,0.010818,True
class1,SLA-12,B27,0.010865,True
class1,SLA-1,B46,0.010883,True
class1,SLA-1,A26,0.010932,True
class1,SLA-11,A01,0.010976,True
class1,SLA-12,A02,0.011016,True
class1,SLA-7,C17,0.011028,True
class1,SLA-7,C15,0.011029,True
class1,SLA-7,C14,0.011043,True
class1,SLA-2,B46,0.011101,True
class1,SLA-12,B51,0.011125,True
class1,SLA-12,B53,0.011149,True
class1,SLA-8,C02,0.011154,True
class1,SLA-11,B52,0.011233,True
class1,SLA-3,A23,0.011276,True
class1,SLA-1,C12,0.011353,True
class1,SLA-12,B46,0.011385,True
class1,SLA-11,B07,0.011522,True
class1,SLA-1,C14,0.011534,True
class1,SLA-3,B18,0.011606,True
class1,SLA-7,B57,0.011708,True
class1,SLA-1,C15,0.011877,True
class1,SLA-12,B38,0.011891,True
class1,SLA-12,B52,0.011922,True
class1,SLA-9,C17,0.011992,True
class1,SLA-2,B44,0.012009,True
class1,SLA-6,B39,0.01217,True
class1,SLA-2,A30,0.012341,True
class1,SLA-2,A_Other,0.01244,True
class1,SLA-7,B58,0.01251,True
class1,SLA-6,A23,0.012517,True
class1,SLA-7,B27,0.012582,True
class1,SLA-6,B52,0.012599,True
class1,SLA-3,A68,0.012752,True
class1,SLA-9,B27,0.012818,True
class1,SLA-2,B56,0.012925,True
class1,SLA-1,B13,0.012929,True
class1,SLA-2,B14,0.012956,True
class1,SLA-12,C12,0.012994,True
class1,SLA-9,B07,0.013115,True
class1,SLA-12,C01,0.013296,True
class1,SLA-6,B41,0.013338,True
class1,SLA-2,A23,0.013427,True
class1,SLA-11,C01,0.01356,True
class1,SLA-1,C07,0.013816,True
class1,SLA-9,C07,0.013937,True
class1,SLA-12,B37,0.014122,True
class1,SLA-9,B40,0.01426,True
class1,SLA-1,B57,0.014288,True
class1,SLA-11,B57,0.014329,True
class1,SLA-12,C04,0.014335,True
class1,SLA-11,C15,0.014405,True
class1,SLA-1,B08,0.014505,True
class1,SLA-7,B50,0.014548,True
class1,SLA-7,B08,0.014584,True
class1,SLA-9,B13,0.014708,True
class1,SLA-1,C01,0.014793,True
class1,SLA-7,B39,0.014836,True
class1,SLA-2,A25,0.014858,True
class1,SLA-9,B51,0.014996,True
class1,SLA-2,C05,0.015012,True
class1,SLA-9,C03,0.015218,True
class1,SLA-11,C02,0.01522,True
class1,SLA-12,B18,0.015231,True
class1,SLA-7,B38,0.015234,True
class1,SLA-12,C02,0.015379,True
class1,SLA-7,B41,0.015387,True
class1,SLA-11,C03,0.015436,True
class1,SLA-9,C05,0.015451,True
class1,SLA-2,B55,0.01547,True
class1,SLA-1,A23,0.015498,True
class1,SLA-12,B08,0.015651,True
class1,SLA-8,B37,0.01566,True
class1,SLA-2,C17,0.015831,True
class1,SLA-11,B46,0.015946,True
class1,SLA-9,C14,0.016086,True
class1,SLA-9,C04,0.016107,True
class1,SLA-6,B38,0.016176,True
class1,SLA-11,A03,0.016218,True
class1,SLA-3,A24,0.016387,True
class1,SLA-3,B27,0.016464,True
class1,SLA-12,C15,0.016571,True
class1,SLA-8,A24,0.016581,True
class1,SLA-2,B49,0.016637,True
class1,SLA-6,B55,0.017041,True
class1,SLA-1,B41,0.017207,True
class1,SLA-11,B37,0.017292,True
class1,SLA-8,A32,0.017491,True
class1,SLA-1,C17,0.017535,True
class1,SLA-1,A_Other,0.017586,True
class1,SLA-12,A_Other,0.017811,True
class1,SLA-2,B57,0.018089,True
class1,SLA-11,B49,0.018172,True
class1,SLA-3,C03,0.01838,True
class1,SLA-8,A30,0.018588,True
class1,SLA-3,C06,0.018842,True
class1,SLA-9,A30,0.018994,True
class1,SLA-1,A01,0.019054,True
class1,SLA-9,C16,0.019399,True
class1,SLA-9,B58,0.01963,True
class1,SLA-2,B27,0.019681,True
class1,SLA-11,B13,0.019774,True
class1,SLA-12,B40,0.020053,True
class1,SLA-1,C05,0.020238,True
class1,SLA-11,B50,0.020386,True
class1,SLA-12,A32,0.02106,True
class1,SLA-8,B08,0.02107,True
class1,SLA-12,C14,0.021081,True
class1,SLA-11,B_Other,0.021083,True
class1,SLA-2,B13,0.02124,True
class1,SLA-8,C07,0.021552,True
class1,SLA-11,B14,0.021597,True
class1,SLA-2,B50,0.021651,True
class1,SLA-12,A29,0.021758,True
class1,SLA-12,B58,0.021805,True
class1,SLA-6,C01,0.02183,True
class1,SLA-8,B40,0.022418,True
class1,SLA-2,B37,0.022419,True
class1,SLA-1,B58,0.022767,True
class1,SLA-11,C16,0.022798,True
class1,SLA-9,A_Other,0.022934,True
class1,SLA-8,B46,0.023283,True
class1,SLA-2,C03,0.023365,True
class1,SLA-11,A24,0.023483,True
class1,SLA-9,C02,0.023704,True
class1,SLA-2,A01,0.023751,True
class1,SLA-7,C16,0.023812,True
class1,SLA-3,C05,0.023964,True
class1,SLA-11,B08,0.023977,True
class1,SLA-8,C01,0.024056,True
class1,SLA-11,B55,0.024151,True
class1,SLA-11,A25,0.02423,True
class1,SLA-9,A03,0.024304,True
class1,SLA-2,B07,0.024657,True
class1,SLA-6,B50,0.024661,True
class1,SLA-2,A29,0.025213,True
class1,SLA-9,A29,0.025329,True
class1,SLA-2,B58,0.025669,True
class1,SLA-1,A68,0.02598,True
class1,SLA-2,B08,0.026071,True
class1,SLA-9,B18,0.026185,True
class1,SLA-6,B56,0.026617,True
class1,SLA-3,B15,0.027021,True
class1,SLA-3,C08,0.027111,True
class1,SLA-3,B08,0.027123,True
class1,SLA-11,B56,0.02723,True
class1,SLA-7,C08,0.027793,True
class1,SLA-6,C07,0.028019,True
class1,SLA-6,B49,0.028547,True
class1,SLA-12,A68,0.028731,True
class1,SLA-3,B58,0.02875,True
class1,SLA-8,B57,0.028879,True
class1,SLA-2,C08,0.030424,True
class1,SLA-6,A24,0.03081,True
class1,SLA-6,B14,0.03086,True
class1,SLA-6,B13,0.030994,True
class1,SLA-11,B58,0.031301,True
class1,SLA-12,A23,0.031317,True
class1,SLA-8,A29,0.031504,True
class1,SLA-2,A02,0.031694,True
class1,SLA-2,B41,0.031819,True
class1,SLA-11,A23,0.03216,True
class1,SLA-9,C12,0.032203,True
class1,SLA-7,C05,0.033457,True
class1,SLA-3,B_Other,0.034025,True
class1,SLA-8,B39,0.034098,True
class1,SLA-1,B07,0.034216,True
class1,SLA-1,C08,0.034698,True
class1,SLA-12,B57,0.034878,True
class1,SLA-6,C14,0.035008,True
class1,SLA-12,A24,0.035153,True
class1,SLA-7,B56,0.035482,True
class1,SLA-12,C05,0.035817,True
class1,SLA-8,B18,0.036343,True
class1,SLA-9,B15,0.036346,True
class1,SLA-2,B_Other,0.036463,True
class1,SLA-11,C17,0.036662,True
class1,SLA-9,A31,0.036891,True
class1,SLA-11,A29,0.037068,True
class1,SLA-8,C15,0.037436,True
class1,SLA-1,A29,0.037709,True
class1,SLA-2,A24,0.037829,True
class1,SLA-3,A01,0.038778,True
class1,SLA-1,A24,0.038896,True
class1,SLA-2,A68,0.038917,True
class1,SLA-8,C08,0.039015,True
class1,SLA-1,C03,0.039619,True
class1,SLA-8,B58,0.040842,True
class1,SLA-11,C08,0.042216,True
class1,SLA-11,B27,0.042663,True
class1,SLA-2,B15,0.044655,True
class1,SLA-6,C17,0.045086,True
class1,SLA-7,B55,0.045114,True
class1,SLA-8,C14,0.045117,True
class1,SLA-7,C02,0.04672,True
class1,SLA-1,B_Other,0.046793,True
class1,SLA-8,C16,0.048674,True
class1,SLA-12,B41,0.048823,True
class1,SLA-3,C07,0.048886,True
class1,SLA-7,B37,0.052995,True
class1,SLA-9,A02,0.05305,True
class1,SLA-12,C08,0.053349,True
class1,SLA-8,C05,0.05661,True
class1,SLA-3,B07,0.059187,True
class1,SLA-12,C17,0.059729,True
class1,SLA-9,C08,0.0599,True
class1,SLA-1,A02,0.06019,True
class1,SLA-1,B15,0.06049,True
class1,SLA-7,B07,0.060903,True
class1,SLA-12,A03,0.061249,True
class1,SLA-2,A03,0.063349,True
class1,SLA-3,A29,0.064582,True
class1,SLA-9,B46,0.065103,True
class1,SLA-12,C16,0.065721,True
class1,SLA-8,B41,0.066501,True
class1,SLA-8,B27,0.067042,True
class1,SLA-9,B44,0.067261,True
class1,SLA-1,A03,0.069216,True
class1,SLA-7,C01,0.071393,True
class1,SLA-8,A23,0.072604,True
class1,SLA-6,B37,0.073867,True
class1,SLA-8,C17,0.078017,True
class1,SLA-3,A03,0.079583,True
class1,SLA-3,A02,0.091008,True
class1,SLA-12,A25,0.09558,True
class1,SLA-11,A02,0.099544,True
class1,SLA-7,B14,0.10105,True
class1,SLA-1,B40,0.10408,True
class1,SLA-2,B40,0.114659,True
class1,SLA-6,B_Other,0.11925,True
class1,SLA-9,B57,0.120543,True
class1,SLA-6,B27,0.123878,True
class1,SLA-6,B40,0.139141,True
class1,SLA-3,B40,0.139426,True
class1,SLA-11,B40,0.149919,True
class1,SLA-7,B_Other,0.203536,True
class2,SLA-DRB1,DQB1_Other,0.001561,True
class2,SLA-DQB1,DQB1_Other,0.001908,True
class2,SLA-DQB1,DRB113,0.002455,True
class2,SLA-DQB1,DRB111,0.003332,True
class2,SLA-DQB1,DRB114,0.003396,True
class2,SLA-DRB1,DQB103,0.004066,True
class2,SLA-DRB1,DQB106,0.004107,True
class2,SLA-DQB1,DRB3_Other,0.004488,True
class2,SLA-DRB1,DQB102,0.004496,True
class2,SLA-DRB1,DQB105,0.00477,True
class2,SLA-DRB1,DRB108,0.005876,True
class2,SLA-DQB1,DRB103,0.006675,True
class2,SLA-DQB1,DPB1_Other,0.007284,True
class2,SLA-DQB1,DRB108,0.007509,True
class2,SLA-DRB1,DPB1_Other,0.007812,True
class2,SLA-DRB1,DQB104,0.008277,True
class2,SLA-DQB1,DRB115,0.009785,True
class2,SLA-DRB1,DRB111,0.010005,True
class2,SLA-DQB1,DRB5_Other,0.011312,True
class2,SLA-DQB1,DRB116,0.012422,True
class2,SLA-DQB1,DRB112,0.012682,True
class2,SLA-DRB1,DRB116,0.013718,True
class2,SLA-DQB1,DRB4_Other,0.014574,True
class2,SLA-DRB1,DRB103,0.015166,True
class2,SLA-DRB1,DRB114,0.015172,True
class2,SLA-DRB1,DRB112,0.026155,True
class2,SLA-DQB1,DRB104,0.026336,True
class2,SLA-DQB1,DRB107,0.031475,True
class2,SLA-DQB1,DQB105,0.038133,True
class2,SLA-DRB1,DRB4_Other,0.043708,True
class2,SLA-DRB1,DRB5_Other,0.045391,True
class2,SLA-DRB1,DRB115,0.046131,True
class2,SLA-DRB1,DRB107,0.053813,True
class2,SLA-DRB1,DRB113,0.055658,True
class2,SLA-DQB1,DRB1_Other,0.069595,True
class2,SLA-DQB1,DQB104,0.074615,True
class2,SLA-DRB1,DRB3_Other,0.101682,True
class2,SLA-DQB1,DQB102,0.117462,True
class2,SLA-DQB1,DQB106,0.120169,True
class2,SLA-DRB1,DRB104,0.157434,True
class2,SLA-DRB1,DRB1_Other,0.174311,True
class2,SLA-DQB1,DQB103,0.190295,True
class2,SLA-DRB1,DRB101,0.200689,True
class2,SLA-DQB1,DRB101,0.2341,True
